Topografia,Pendiente2,Aspecto,Perfil de Curvatura,Plano de Curvatura,Deslizamientos,Tmax,Tmin,Viento,Humedad,Solar,Precip30
927.6719971,78.6054001,175.6300049,-0.0052034,0.0217549,1,27.9526005,20.9925003,0.939423,0.927662,16.6991997,447.4349976
922.0230103,78.7665024,177.7200012,-0.001284,0.0175425,1,27.9522991,20.9922009,0.939485,0.927657,16.7001991,447.3829956
918.7780151,78.7761993,177.9409943,-0.0001513,0.0129821,1,27.9519005,20.9918995,0.939547,0.927653,16.7010994,447.3320007
851.7139893,74.7554016,181.1450043,-0.018808,0.120441,1,27.9745998,21.0125999,0.935322,0.927931,16.6355991,450.8789978
859.1680298,74.9421005,190.9550018,-0.0058076,0.124973,1,27.9743004,21.0123997,0.935379,0.927927,16.6364002,450.8320007
918.6569824,79.0744019,177.9129944,0.0172821,0.006427,1,27.9552994,20.9944992,0.93902,0.927682,16.6933994,447.7780151
912.2080078,79.2401962,174.8529968,0.0125787,0.0033777,1,27.9549999,20.9941998,0.939081,0.927678,16.6942997,447.7269897
898.6229858,79.4048004,171.875,0.0070243,-0.0016792,1,27.9547005,20.9939003,0.939142,0.927674,16.6952991,447.6759949
880.3040161,79.4225006,170.2510071,0.0040222,-0.0071283,1,27.9543991,20.9936008,0.939203,0.92767,16.6963005,447.6239929
860.5540161,79.2841034,171.3040009,-0.0017577,-0.0144716,1,27.9540005,20.9932995,0.939265,0.927665,16.6972008,447.572998
846.4940186,79.0383987,173.2539978,-0.0071584,-0.0217396,1,27.9536991,20.993,0.939326,0.927661,16.6982002,447.5209961
834.2160034,78.718399,173.7980042,-0.0092737,-0.0275103,1,27.9533997,20.9927006,0.939388,0.927657,16.6991005,447.4700012
821.9019775,78.4048996,175.3829956,-0.0059341,-0.03151,1,27.9531002,20.9923992,0.939449,0.927653,16.7000999,447.4179993
815.7650146,78.2002029,177.6710052,-0.0018686,-0.0349567,1,27.9528008,20.9920998,0.939511,0.927649,16.7010994,447.3659973
813.0720215,78.0431976,178.4290009,-5.24E-05,-0.038903,1,27.9524002,20.9918003,0.939573,0.927645,16.7019997,447.3139954
810.559021,77.7830963,177.6649933,0.0021371,-0.0437991,1,27.9521008,20.9915009,0.939635,0.92764,16.7029991,447.2630005
810.3989868,78.1716003,177.7980042,0.0161819,-0.0544088,1,27.9557991,20.9944992,0.939046,0.927673,16.6942997,447.7609863
803.6220093,77.9664993,174.6159973,0.0109021,-0.0608514,1,27.9554996,20.9941998,0.939107,0.927669,16.6952991,447.7090149
789.3400269,77.4832001,171.9779968,0.0059247,-0.0680802,1,27.9552002,20.9939003,0.939168,0.927665,16.6961994,447.6579895
774.3099976,76.6010971,170.4259949,0.0024691,-0.0767975,1,27.9549007,20.9936008,0.939229,0.927661,16.6972008,447.6069946
